,Category,Literacy rate (Persons) - Total - 2001,Literacy rate (Persons) - Total - 2011,Literacy rate (Persons) - Rural - 2001,Literacy rate (Persons) - Rural - 2011,Literacy rate (Persons) - Urban - 2001,Literacy rate (Persons) - Urban - 2011,state
0,Country,64.8,73.0,58.7,67.8,79.9,84.1,INDIA
1,State,60.5,67.0,54.5,60.4,76.1,80.1,Andhra Pradesh
2,State,54.3,65.4,47.8,59.9,78.3,82.9,Arunachal Pradesh
3,State,63.3,72.2,59.7,69.3,85.3,88.5,Assam
4,State,47.0,61.8,43.9,59.8,71.9,76.9,Bihar
5,State,64.7,70.3,60.5,66.0,80.6,84.0,Chhattisgarh
6,State,82.0,88.7,79.7,86.6,84.4,90.0,Goa
7,State,69.1,78.0,61.3,71.7,81.8,86.3,Gujarat
8,State,67.9,75.6,63.2,71.4,79.2,83.1,Haryana
9,State,76.5,82.8,75.1,81.9,88.9,91.1,Himachal Pradesh
10,State,55.5,67.2,49.8,63.2,71.9,77.1,Jammu & Kashmir
11,State,53.6,66.4,45.7,61.1,79.1,82.3,Jharkhand
12,State,66.6,75.4,59.3,68.7,80.6,85.8,Karnataka
13,State,90.9,94.0,90.0,93.0,93.2,95.1,Kerala
14,State,63.7,69.3,57.8,63.9,79.4,82.8,Madhya Pradesh
15,State,76.9,82.3,70.4,77.0,85.5,88.7,Maharashtra
16,State,70.5,76.9,67.3,73.4,79.3,85.4,Manipur
17,State,62.6,74.4,56.3,69.9,86.3,90.8,Meghalaya
18,State,88.8,91.3,81.3,84.1,96.1,97.6,Mizoram
19,State,66.6,79.6,62.8,75.3,84.7,89.6,Nagaland
20,State,63.1,72.9,59.8,70.2,80.8,85.7,Odisha
21,State,69.7,75.8,64.7,71.4,79.1,83.2,Punjab
22,State,60.4,66.1,55.3,61.4,76.2,79.7,Rajasthan
23,State,68.8,81.4,66.8,78.9,83.9,88.7,Sikkim
24,State,73.5,80.1,66.2,73.5,82.5,87.0,Tamil Nadu
25,State,73.2,87.2,69.7,84.9,89.2,93.5,Tripura
26,State,56.3,67.7,52.5,65.5,69.8,75.1,Uttar Pradesh
27,State,71.6,78.8,68.1,76.3,81.4,84.5,Uttarakhand
28,State,68.6,76.3,63.4,72.1,81.2,84.8,West Bengal
29,Union Territory,81.3,86.6,78.7,84.5,86.6,90.1,A & N Islands
30,Union Territory,81.9,86.0,75.6,80.7,82.6,86.2,Chandigarh
31,Union Territory,57.6,76.2,49.3,64.1,84.4,89.8,D & N Haveli
32,Union Territory,78.2,87.1,75.8,81.4,82.3,89.0,Daman & Diu
33,Union Territory,86.7,91.8,85.0,91.6,88.6,91.9,Lakshadweep
34,Union Territory,81.7,86.2,78.1,81.9,81.9,86.3,NCT of Delhi
35,Union Territory,81.2,85.8,74.0,80.1,84.8,88.5,Puducherry
