,state,Decadal growth rate - Total - 1991-01,Decadal growth rate - Total - 2001-11,Decadal growth rate - Rural - 1991-01,Decadal growth rate - Rural - 2001-11,Decadal growth rate - Urban - 1991-01,Decadal growth rate - Urban - 2001-11
0,India,21.5,17.7,19.2,12.3,32.6,31.8
1,A & N Islands,26.9,6.9,16.6,-1.2,55.0,23.5
2,Andhra Pradesh,14.6,11.0,13.9,1.7,16.3,35.6
3,Arunachal Pradesh,27.0,26.0,15.4,22.6,106.0,39.3
4,Assam,18.9,17.1,16.5,15.5,38.2,27.9
5,Bihar,28.6,25.4,28.5,24.3,29.4,35.4
6,Chandigarh,40.3,17.2,39.2,-68.5,40.4,27.0
7,Chhattisgarh,18.3,22.6,14.4,17.8,36.6,41.8
8,D & N Haveli,59.2,55.9,34.1,7.7,330.4,218.2
9,Daman & Diu,55.7,53.8,86.6,-40.1,20.6,218.8
10,Goa,15.2,8.2,-1.9,-18.5,39.8,35.2
11,Gujarat,22.7,19.3,17.3,9.3,32.9,36.0
12,Haryana,28.4,19.9,21.1,9.8,50.8,44.6
13,Himachal Pradesh,17.5,12.9,16.1,12.7,32.6,15.6
14,Jammu & Kashmir,29.4,23.6,26.2,19.4,40.3,36.4
15,Jharkhand,23.4,22.4,21.8,19.6,29.1,32.4
16,Karnataka,17.5,15.6,12.3,7.4,29.1,31.5
17,Kerala,9.4,4.9,10.1,-25.9,7.6,92.8
18,Lakshadweep,17.3,6.3,49.1,-58.0,-7.4,86.6
19,Madhya Pradesh,24.3,20.3,22.3,18.4,30.1,25.7
20,Maharashtra,22.7,16.0,15.3,10.4,34.6,23.6
21,Manipur,24.9,24.5,29.0,17.7,13.9,44.8
22,Meghalaya,30.7,27.9,29.1,27.2,37.6,31.1
23,Mizoram,28.8,23.5,20.4,17.4,38.7,29.7
24,NCT of Delhi,47.0,21.2,-0.5,-55.6,52.3,26.8
25,Nagaland,64.5,-0.6,64.5,-14.6,64.6,66.6
26,Odisha,16.3,14.0,14.1,11.8,30.3,26.9
27,Puducherry,20.6,28.1,12.0,21.3,25.5,31.5
28,Punjab,20.1,13.9,12.7,7.8,37.9,25.9
29,Rajasthan,28.4,21.3,27.6,19.0,31.3,29.0
30,Sikkim,33.1,12.9,30.2,-5.0,61.8,156.5
31,Tamil Nadu,11.7,15.6,-5.1,6.6,44.1,27.0
32,Telangana,14.6,11.0,13.9,1.7,16.3,35.6
33,Tripura,16.0,14.8,13.6,2.2,29.4,76.2
34,Uttar Pradesh,25.8,20.2,24.1,18.0,33.0,28.8
35,Uttarakhand,20.4,18.8,16.5,11.5,33.4,39.9
36,West Bengal,17.8,13.8,17.0,7.7,19.9,29.7
