,state,GSDP - CONSTANT PRICES (` in Crore)2011-12,GSDP - CONSTANT PRICES (` in Crore)2012-13,GSDP - CONSTANT PRICES (` in Crore)2013-14,GSDP - CONSTANT PRICES (` in Crore)2014-15,GSDP - CONSTANT PRICES (` in Crore)2015-16,GSDP - CONSTANT PRICES (` in Crore)2016-17,(% Growth over previous year)2012-13,(% Growth over previous year)2013-14,(% Growth over previous year)2014-15,(% Growth over previous year)2015-16,(% Growth over previous year)2016-17
0,India,8736039.0,9215125.0,9817822.0,10522686.0,11357529.0,12165481.0,5.48,6.54,7.18,7.93,7.11
1,A & N Islands,3979.0,4156.0,4502.0,4839.0,275633.0,314364.0,4.45,8.32,7.5,8.43,7.94
2,Andhra Pradesh,379402.0,380629.0,407115.0,441741.0,490134.0,547021.0,0.32,6.96,8.51,10.96,11.61
3,Arunachal Pradesh,11063.0,11299.0,12348.0,13541.0,13963.0,24005.0,2.14,9.29,9.66,3.12,6.65
4,Assam,143175.0,147342.0,154525.0,166709.0,179595.0,24005.0,2.91,4.88,7.88,5.346666666666667,6.65
5,Bihar,247144.0,256851.0,269650.0,304766.0,326535.0,314364.0,3.93,4.98,13.02,7.14,7.94
6,Chandigarh,18768.0,20265.0,21893.0,23920.0,26379.0,466412.5,7.98,8.04,9.26,10.28,8.26
7,Chhattisgarh,158074.0,165937.0,182229.0,196023.0,209012.0,223932.0,4.97,9.82,7.57,7.97,12.21
8,D & N Haveli,591851.25,632650.75,672575.0,715780.25,450917.0,280707.0416666667,1.59,1.9825000000000002,7.327500000000001,6.555861111111111,7.390833333333333
9,Daman & Diu,591851.25,632650.75,672575.0,715780.25,450917.0,280707.0416666667,1.59,1.9825000000000002,7.327500000000001,6.555861111111111,7.390833333333333
10,Goa,42367.0,35850.0,31568.0,34611.0,37520.0,280707.0416666667,-15.38,-11.94,9.64,6.555861111111111,7.390833333333333
11,Gujarat,615606.0,682650.0,734284.0,791569.0,864314.0,280707.0416666667,10.89,7.56,7.8,6.555861111111111,7.390833333333333
12,Haryana,297539.0,320570.0,346799.0,366636.0,399646.0,434608.0,7.74,8.18,5.72,8.7325,8.26
13,Himachal Pradesh,72720.0,77384.0,82847.0,89032.0,341666.0,466412.5,6.41,7.06,7.47,8.7325,8.26
14,Jammu & Kashmir,78254.0,80515.0,85530.0,85267.0,95965.0,466412.5,2.89,6.23,-0.31,8.7325,8.26
15,Jharkhand,150918.0,163250.0,165816.0,186491.0,209137.0,314364.0,8.17,1.57,12.47,12.14,7.94
16,Karnataka,603778.0,641212.0,708623.0,760282.0,815545.0,534888.75,6.2,10.51,7.29,7.27,9.285
17,Kerala,364048.0,387693.0,402781.0,432237.0,467243.0,534888.75,6.5,3.89,7.31,8.856,9.285
18,Lakshadweep,591851.25,632650.75,672575.0,715780.25,450917.0,280707.0416666667,1.59,1.9825000000000002,7.327500000000001,6.555861111111111,7.390833333333333
19,Madhya Pradesh,315561.0,351461.0,364197.0,383994.0,414607.0,465212.0,11.38,3.62,5.44,7.97,12.21
20,Maharashtra,1272967.0,1357116.0,1441843.0,1524846.0,450917.0,280707.0416666667,6.61,6.24,5.76,6.555861111111111,7.390833333333333
21,Manipur,12915.0,12985.0,14116.0,15030.0,57446.75,24005.0,0.54,8.71,6.48,5.346666666666667,6.65
22,Meghalaya,19918.0,20354.0,20726.0,21152.0,22507.0,24005.0,2.19,1.83,2.06,6.41,6.65
23,Mizoram,7259.0,7778.0,9038.0,9634.0,57446.75,24005.0,7.15,16.21,6.59,5.346666666666667,6.65
24,NCT of Delhi,343767.0,366538.0,391718.0,422920.0,460217.0,498217.0,6.62,6.87,7.97,8.82,8.26
25,Nagaland,11839.0,12442.0,13826.0,14115.0,57446.75,24005.0,5.09,11.13,2.09,5.346666666666667,6.65
26,Odisha,227872.0,238370.0,259179.0,274721.0,291227.0,314364.0,4.61,8.73,6.0,6.01,7.94
27,Puducherry,16818.0,17310.0,19170.0,20428.0,22007.0,23656.0,2.93,10.74,6.56,7.73,7.49
28,Punjab,266628.0,280823.0,298581.0,313276.0,341666.0,466412.5,5.32,6.32,4.92,8.7325,8.26
29,Rajasthan,436465.0,454987.0,482605.0,512095.0,450917.0,280707.0416666667,4.24,6.07,6.11,6.555861111111111,7.390833333333333
30,Sikkim,11165.0,11421.0,12114.0,12882.0,13722.0,24005.0,2.29,6.07,6.34,6.51,6.65
31,Tamil Nadu,751485.0,787907.0,842182.0,900628.0,979816.0,1057592.0,4.85,6.89,6.94,8.79,7.94
32,Telangana,359433.0,369290.0,389882.0,423972.0,464389.0,511286.0,2.74,5.58,8.74,9.53,10.1
33,Tripura,19208.0,20873.0,22819.0,25086.0,57446.75,24005.0,8.67,9.32,9.94,5.346666666666667,6.65
34,Uttar Pradesh,724049.0,754928.0,803233.0,853872.0,914748.0,466412.5,4.26,6.4,6.3,7.13,8.26
35,Uttarakhand,115524.0,123891.0,134089.0,140791.0,153041.0,466412.5,7.24,8.23,5.0,8.7,8.26
36,West Bengal,157478.25,165656.75,174786.75,192704.25,275633.0,314364.0,5.29,5.9,9.7475,8.43,7.94
