,state,GSDP - CURRENT PRICES (` in Crore)2011-12,GSDP - CURRENT PRICES (` in Crore)2012-13,GSDP - CURRENT PRICES (` in Crore)2013-14,GSDP - CURRENT PRICES (` in Crore)2014-15,GSDP - CURRENT PRICES (` in Crore)2015-16,GSDP - CURRENT PRICES (` in Crore)2016-17,(% Growth over previous year)2012-13,(% Growth over previous year)2013-14,(% Growth over previous year)2014-15,(% Growth over previous year)2015-16,(% Growth over previous year)2016-17
0,India,8736039.0,9946636.0,11236635.0,12433749.0,13675331.0,15251028.0,13.86,12.97,10.65,9.99,11.52
1,A & N Islands,3979.0,4421.0,5159.0,5721.0,332448.3333333333,378991.0,11.13,16.68,10.89,9.406666666666668,10.85
2,Andhra Pradesh,379402.0,411404.0,464272.0,526468.0,609934.0,699307.0,8.43,12.85,13.4,15.85,14.65
3,Arunachal Pradesh,11063.0,12547.0,14602.0,16761.0,18784.0,29567.0,13.41,16.38,14.79,12.07,10.55
4,Assam,143175.0,156864.0,177745.0,198098.0,224234.0,29567.0,9.56,13.31,11.45,13.19,10.55
5,Bihar,247144.0,282368.0,317101.0,373920.0,413503.0,378991.0,14.25,12.3,17.92,10.59,10.85
6,Chandigarh,18768.0,21609.0,24787.0,27844.0,30304.0,584890.5,15.14,14.71,12.33,8.84,12.79
7,Chhattisgarh,158074.0,177511.0,206690.0,234982.0,260776.0,290140.0,12.3,16.44,13.69,10.98,11.26
8,D & N Haveli,591851.25,676271.25,760187.75,834994.0,519659.0,356540.25,8.66,7.6775,11.022499999999999,10.92,10.203333333333335
9,Daman & Diu,591851.25,676271.25,760187.75,834994.0,519659.0,356540.25,8.66,7.6775,11.022499999999999,10.92,10.203333333333335
10,Goa,42367.0,38120.0,35921.0,40633.0,45002.0,356540.25,-10.02,-5.77,13.12,10.75,10.203333333333335
11,Gujarat,615606.0,724495.0,807623.0,895027.0,994316.0,356540.25,17.69,11.47,10.82,11.09,10.203333333333335
12,Haryana,297539.0,347032.0,400662.0,437462.0,485184.0,547396.0,16.63,15.45,9.18,10.91,12.82
13,Himachal Pradesh,72720.0,82820.0,94764.0,104369.0,420620.6666666667,584890.5,13.89,14.42,10.14,12.33,12.79
14,Jammu & Kashmir,78254.0,87105.0,95893.0,100404.0,118387.0,584890.5,11.31,10.09,4.7,17.91,12.79
15,Jharkhand,150918.0,174724.0,188567.0,217107.0,241955.0,378991.0,15.77,7.92,15.14,11.44,10.85
16,Karnataka,603778.0,691700.0,817886.0,921788.0,1027068.0,680481.0,14.56,18.24,12.7,11.42,12.53
17,Kerala,364048.0,412313.0,465041.0,526002.0,588337.0,680481.0,13.26,12.79,13.11,11.85,12.53
18,Lakshadweep,591851.25,676271.25,760187.75,834994.0,519659.0,356540.25,8.66,7.6775,11.022499999999999,10.92,10.203333333333335
19,Madhya Pradesh,315561.0,380924.0,437737.0,481982.0,543975.0,640484.0,20.71,14.91,10.11,12.86,17.74
20,Maharashtra,1272967.0,1448466.0,1647506.0,1792122.0,519659.0,356540.25,13.79,13.74,8.78,10.92,10.203333333333335
21,Manipur,12915.0,13748.0,16198.0,18043.0,71600.0,29567.0,6.45,17.83,11.39,11.0575,10.55
22,Meghalaya,19918.0,21872.0,22938.0,24408.0,26745.0,29567.0,9.81,4.87,6.41,9.58,10.55
23,Mizoram,7259.0,8362.0,10293.0,11559.0,71600.0,29567.0,15.2,23.1,12.3,11.0575,10.55
24,NCT of Delhi,343767.0,391238.0,443783.0,492424.0,551963.0,622385.0,13.81,13.43,10.96,12.09,12.76
25,Nagaland,11839.0,13619.0,16612.0,18414.0,71600.0,29567.0,15.03,21.98,10.85,11.0575,10.55
26,Odisha,227872.0,258275.0,291709.0,321971.0,341887.0,378991.0,13.34,12.95,10.37,6.19,10.85
27,Puducherry,16818.0,18875.0,21870.0,24089.0,26533.0,29557.0,12.23,15.87,10.14,10.15,11.4
28,Punjab,266628.0,297734.0,334714.0,368011.0,420620.6666666667,584890.5,11.67,12.42,9.95,12.33,12.79
29,Rajasthan,436465.0,494004.0,549701.0,612194.0,519659.0,356540.25,13.18,11.27,11.37,10.92,10.203333333333335
30,Sikkim,11165.0,12338.0,13862.0,15209.0,16637.0,29567.0,10.51,12.35,9.72,9.39,10.55
31,Tamil Nadu,751485.0,855481.0,971090.0,1092564.0,1212668.0,1338766.0,13.84,13.51,12.51,10.99,10.4
32,Telangana,359433.0,401493.0,452186.0,511178.0,575631.0,654294.0,11.7,12.63,13.05,12.61,13.67
33,Tripura,19208.0,21663.0,25593.0,29667.0,71600.0,29567.0,12.78,18.14,15.92,11.0575,10.55
34,Uttar Pradesh,724049.0,822903.0,944146.0,1043371.0,1153795.0,584890.5,13.65,14.73,10.51,10.58,12.79
35,Uttarakhand,115523.0,131835.0,149817.0,161985.0,184091.0,584890.5,14.12,13.64,8.12,13.65,12.79
36,West Bengal,157478.25,179947.0,200634.0,229679.75,332448.3333333333,378991.0,13.6225,12.4625,13.58,9.406666666666668,10.85
