,state,NSDP - CONSTANT PRICES (` in Crore)2011-12,NSDP - CONSTANT PRICES (` in Crore)2012-13,NSDP - CONSTANT PRICES (` in Crore)2013-14,NSDP - CONSTANT PRICES (` in Crore)2014-15,NSDP - CONSTANT PRICES (` in Crore)2015-16,NSDP - CONSTANT PRICES (` in Crore)2016-17,(% Growth over previous year)2012-13,(% Growth over previous year)2013-14,(% Growth over previous year)2014-15,(% Growth over previous year)2015-16,(% Growth over previous year)2016-17
0,India,7818898.0,8205908.0,8718820.0,9337045.0,10080883.0,10803651.0,4.95,6.25,7.09,7.97,7.17
1,A & N Islands,3404.0,3557.0,3824.0,4214.0,248504.66666666666,273914.0,4.5,7.52,10.2,8.83,8.14
2,Andhra Pradesh,339996.0,341335.0,360239.0,391373.0,434433.0,484930.0,0.39,5.54,8.64,11.0,11.62
3,Arunachal Pradesh,10229.0,10399.0,11235.0,12323.0,12693.0,21275.0,1.65,8.05,9.68,3.0,6.68
4,Assam,129354.0,132518.0,138725.0,149313.0,160724.0,21275.0,2.45,4.68,7.63,5.286666666666666,6.68
5,Bihar,228497.0,236932.0,246915.0,279711.0,299814.0,273914.0,3.69,4.21,13.28,7.19,8.14
6,Chandigarh,16930.0,18285.0,19622.0,21456.0,23729.0,420629.0,8.01,7.31,9.35,10.59,8.09
7,Chhattisgarh,142273.0,148719.0,163187.0,175414.0,184693.0,198922.0,4.53,9.73,7.49,7.61,12.46
8,D & N Haveli,521742.5,557055.5,591641.75,629450.5,397316.5,249080.25,1.7325000000000004,1.4825,7.4075,6.599527777777777,7.524583333333335
9,Daman & Diu,521742.5,557055.5,591641.75,629450.5,397316.5,249080.25,1.7325000000000004,1.4825,7.4075,6.599527777777777,7.524583333333335
10,Goa,38009.0,32453.0,27971.0,30675.0,33584.0,249080.25,-14.62,-13.81,9.67,6.599527777777777,7.524583333333335
11,Gujarat,532809.0,596659.0,641489.0,695974.0,761049.0,249080.25,11.98,7.51,8.49,6.599527777777777,7.524583333333335
12,Haryana,271152.0,289414.0,314224.0,331413.0,361231.0,392729.0,6.73,8.57,5.47,8.7725,8.09
13,Himachal Pradesh,60536.0,64519.0,69398.0,74572.0,303318.6666666667,420629.0,6.58,7.56,7.46,8.7725,8.09
14,Jammu & Kashmir,67272.0,67064.0,70950.0,69943.0,78775.0,420629.0,-0.31,5.8,-1.42,8.7725,8.09
15,Jharkhand,137383.0,149526.0,150609.0,169758.0,192404.0,273914.0,8.84,0.72,12.71,13.34,8.14
16,Karnataka,552720.0,584730.0,644097.0,691676.0,741744.0,474956.0,5.79,10.15,7.39,7.24,9.7775
17,Kerala,328021.0,348616.0,364707.0,393702.0,426132.0,474956.0,6.28,4.62,7.95,9.098,9.7775
18,Lakshadweep,521742.5,557055.5,591641.75,629450.5,397316.5,249080.25,1.7325000000000004,1.4825,7.4075,6.599527777777777,7.524583333333335
19,Madhya Pradesh,282370.0,306632.0,321660.0,337522.0,363224.0,408493.0,8.59,4.9,4.93,7.61,12.46
20,Maharashtra,1119192.0,1188885.0,1261944.0,1329308.0,397316.5,249080.25,6.23,6.15,5.34,6.599527777777777,7.524583333333335
21,Manipur,11501.0,11507.0,12521.0,13383.0,51326.75,21275.0,0.05,8.81,6.89,5.286666666666666,6.68
22,Meghalaya,18028.0,18323.0,18397.0,18728.0,19942.0,21275.0,1.64,0.4,1.8,6.48,6.68
23,Mizoram,6404.0,6836.0,7831.0,8348.0,51326.75,21275.0,6.75,14.56,6.6,5.286666666666666,6.68
24,NCT of Delhi,314619.0,334103.0,355337.0,382103.0,414964.0,448529.0,6.19,6.36,7.53,8.6,8.09
25,Nagaland,10217.0,10737.0,11957.0,12124.0,51326.75,21275.0,5.09,11.36,1.4,5.286666666666666,6.68
26,Odisha,201111.0,211307.0,226410.0,239051.0,253296.0,273914.0,5.07,7.15,5.58,5.96,8.14
27,Puducherry,15160.0,15507.0,17239.0,18349.0,19927.0,21728.0,2.29,11.16,6.44,8.6,9.04
28,Punjab,239227.0,251813.0,268423.0,280902.0,303318.6666666667,420629.0,5.26,6.6,4.65,8.7725,8.09
29,Rajasthan,396960.0,410225.0,435163.0,461845.0,397316.5,249080.25,3.34,6.08,6.13,6.599527777777777,7.524583333333335
30,Sikkim,9742.0,9970.0,10590.0,11232.0,11948.0,21275.0,2.34,6.21,6.06,6.38,6.68
31,Tamil Nadu,674478.0,705426.0,740623.0,790760.0,863423.0,933662.0,4.59,4.99,6.77,9.19,8.13
32,Telangana,325138.0,333674.0,349518.0,380514.0,416524.0,459504.0,2.63,4.75,8.87,9.46,10.32
33,Tripura,17419.0,18857.0,20623.0,22584.0,51326.75,21275.0,8.26,9.36,9.51,5.286666666666666,6.68
34,Uttar Pradesh,645130.0,670231.0,708210.0,753114.0,807104.0,420629.0,3.89,5.67,6.34,7.17,8.09
35,Uttarakhand,102156.0,109961.0,118129.0,123341.0,134109.0,420629.0,7.64,7.43,4.41,8.73,8.09
36,West Bengal,142598.75,150330.5,156939.5,173183.5,248504.66666666666,273914.0,5.525,4.9,10.442499999999999,8.83,8.14
