,state,NSDP - CURRENT PRICES (` in Crore)2011-12,NSDP - CURRENT PRICES (` in Crore)2012-13,NSDP - CURRENT PRICES (` in Crore)2013-14,NSDP - CURRENT PRICES (` in Crore)2014-15,NSDP - CURRENT PRICES (` in Crore)2015-16,NSDP - CURRENT PRICES (` in Crore)2016-17,(% Growth over previous year)2012-13,(% Growth over previous year)2013-14,(% Growth over previous year)2014-15,(% Growth over previous year)2015-16,(% Growth over previous year)2016-17
0,India,7818898.0,8886659.0,10041060.0,11108576.0,12242873.0,13653519.0,13.65,12.99,10.63,10.21,11.52
1,A & N Islands,3404.0,3793.0,4424.0,5025.0,301897.6666666667,334067.0,11.44,16.64,13.56,9.826666666666666,11.27
2,Andhra Pradesh,339996.0,370196.0,413164.0,469909.0,545638.0,620974.0,8.88,11.61,13.73,16.12,13.81
3,Arunachal Pradesh,10229.0,11617.0,13398.0,15410.0,17229.0,26505.0,13.57,15.32,15.02,11.8,10.73
4,Assam,129354.0,142039.0,160442.0,178479.0,201758.0,26505.0,9.81,12.96,11.24,10.24,10.73
5,Bihar,228497.0,261327.0,292143.0,345571.0,382223.0,334067.0,14.37,11.79,18.29,10.61,11.27
6,Chandigarh,16930.0,19507.0,22290.0,25061.0,27341.0,529872.5,15.23,14.26,12.43,9.1,12.88
7,Chhattisgarh,142273.0,159431.0,185939.0,211016.0,233023.0,256346.0,12.06,16.63,13.49,12.58,18.18
8,D & N Haveli,521742.5,596747.75,671726.25,738264.75,463375.5,318930.4583333333,9.045,7.3975,11.22,9.433277777777779,10.99125
9,Daman & Diu,521742.5,596747.75,671726.25,738264.75,463375.5,318930.4583333333,9.045,7.3975,11.22,9.433277777777779,10.99125
10,Goa,38009.0,34567.0,32043.0,36290.0,40659.0,318930.4583333333,-9.05,-7.3,13.26,9.433277777777779,10.99125
11,Gujarat,532809.0,634572.0,707456.0,789949.0,886092.0,318930.4583333333,19.1,11.49,11.66,9.433277777777779,10.99125
12,Haryana,271152.0,314353.0,363590.0,395890.0,438140.0,494090.0,15.93,15.66,8.88,11.365,12.88
13,Himachal Pradesh,60536.0,69432.0,80129.0,88196.0,375173.0,529872.5,14.7,15.41,10.07,11.365,12.88
14,Jammu & Kashmir,67272.0,72963.0,79966.0,83217.0,98063.0,529872.5,8.46,9.6,4.07,11.365,12.88
15,Jharkhand,137383.0,160304.0,172030.0,198386.0,223234.0,334067.0,16.68,7.31,15.32,12.52,11.27
16,Karnataka,552720.0,632211.0,747788.0,843918.0,940006.0,608998.25,14.38,18.28,12.86,11.39,12.8875
17,Kerala,328021.0,371384.0,417265.0,473045.0,531126.0,608998.25,13.22,12.35,13.37,12.588,12.8875
18,Lakshadweep,521742.5,596747.75,671726.25,738264.75,463375.5,318930.4583333333,9.045,7.3975,11.22,9.433277777777779,10.99125
19,Madhya Pradesh,282370.0,333936.0,391369.0,429896.0,483969.0,571934.0,18.26,17.2,9.84,12.58,18.18
20,Maharashtra,1119192.0,1271017.0,1450003.0,1572037.0,463375.5,318930.4583333333,13.57,14.08,8.42,9.433277777777779,10.99125
21,Manipur,11501.0,12193.0,14456.0,16189.0,64370.25,26505.0,6.01,18.56,11.99,10.24,10.73
22,Meghalaya,18028.0,19653.0,20415.0,21838.0,23936.0,26505.0,9.01,3.88,6.97,9.61,10.73
23,Mizoram,6404.0,7375.0,8989.0,10136.0,64370.25,26505.0,15.17,21.88,12.76,10.24,10.73
24,NCT of Delhi,314619.0,357251.0,404664.0,447435.0,501104.0,565655.0,13.55,13.27,10.57,11.99,12.88
25,Nagaland,10217.0,11816.0,14545.0,16137.0,64370.25,26505.0,15.65,23.1,10.94,10.24,10.73
26,Odisha,201111.0,229888.0,256211.0,282322.0,300236.0,334067.0,14.31,11.45,10.19,6.35,11.27
27,Puducherry,15160.0,16984.0,19778.0,21776.0,24220.0,27511.0,12.04,16.45,10.1,11.23,13.58
28,Punjab,239227.0,267116.0,301673.0,332999.0,375173.0,529872.5,11.66,12.94,10.38,11.365,12.88
29,Rajasthan,396960.0,446835.0,497403.0,554783.0,463375.5,318930.4583333333,12.56,11.32,11.54,9.433277777777779,10.99125
30,Sikkim,9742.0,10817.0,12203.0,13318.0,14558.0,26505.0,11.03,12.82,9.14,9.31,10.73
31,Tamil Nadu,674478.0,768951.0,861429.0,970953.0,1080461.0,1193578.0,14.01,12.03,12.71,11.28,10.47
32,Telangana,325138.0,363929.0,408887.0,462636.0,522412.0,593930.0,11.93,12.35,13.15,12.92,13.69
33,Tripura,17419.0,19631.0,23329.0,27484.0,64370.25,26505.0,12.7,18.84,17.81,10.24,10.73
34,Uttar Pradesh,645130.0,733505.0,837614.0,925437.0,1024222.0,529872.5,13.7,14.19,10.48,10.67,12.88
35,Uttarakhand,102156.0,117264.0,132556.0,142628.0,162168.0,529872.5,14.79,13.04,7.6,13.7,12.88
36,West Bengal,142598.75,163828.0,181202.0,207826.0,301897.6666666667,334067.0,14.2,11.7975,14.34,9.826666666666666,11.27
